00:36:29 | _lookahead_search | Evaluating move: e2e4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/pppp1ppN/7n/4p3/4P3/1P6/P1PP1PPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: d2d4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/pppp1ppN/7n/4p3/3P4/1P6/P1P1PPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: c2c4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/pppp1ppN/7n/4p3/2P5/1P6/P2PPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: a2a4 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/pppp1ppN/7n/4p3/P7/1P6/2PPPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Strongly considering: h7f8 | Best score: 0.000 | FEN: rnbqkN1r/pppp1pp1/7n/4p3/8/1P6/P1PPPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: e7e5 | Score: 0.000 | Depth: 1 | Best score: 0.000 | FEN: rnbqkN1r/pppp1pp1/7n/4p3/8/1P6/P1PPPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | order_moves     | Ordered moves at depth 0: ['h7f8 (0.00)', 'h7f6 (0.00)', 'h7g5 (0.00)', 'h1g1 (0.00)', 'c1a3 (0.00)', 'c1b2 (0.00)', 'b1c3 (0.00)', 'b1a3 (0.00)', 'b3b4 (0.00)', 'h2h3 (0.00)', 'g2g3 (0.00)', 'f2f3 (0.00)', 'e2e3 (0.00)', 'd2d3 (0.00)', 'c2c3 (0.00)', 'a2a3 (0.00)', 'h2h4 (0.00)', 'g2g4 (0.00)', 'f2f4 (0.00)', 'e2e4 (0.00)', 'd2d4 (0.00)', 'c2c4 (0.00)', 'a2a4 (0.00)']
00:36:29 | _lookahead_search | Evaluating move: h7f8 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkN1r/ppp1ppp1/7n/3p4/8/1P6/P1PPPPPP/RNBQKB1R b KQq - 0 5
00:36:29 | _lookahead_search | Evaluating move: h7f6 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1ppp1/5N1n/3p4/8/1P6/P1PPPPPP/RNBQKB1R b KQq - 1 5
00:36:29 | _lookahead_search | Evaluating move: h7g5 | Score: 0.000 | Depth: 2 | Best score: 0.000 | FEN: rnbqkb1r/ppp1ppp1/7n/3p2N1/8/1P6/P1PPPPPP/RNBQKB1R b KQq - 1 5
