14:56:45 | _simple_eval_move | Considering move: a7a6 | Resulting eval: -2.100 | FEN: rnbqkbnr/1ppppppp/p7/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: h7h5 | Resulting eval: -2.250 | FEN: rnbqkbnr/ppppppp1/8/7p/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: g7g5 | Resulting eval: -1.850 | FEN: rnbqkbnr/pppppp1p/8/6p1/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: f7f5 | Resulting eval: -3.700 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: e7e5 | Resulting eval: -2.400 | FEN: rnbqkbnr/pppp1ppp/8/4p3/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: d7d5 | Resulting eval: -2.500 | FEN: rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: c7c5 | Resulting eval: -2.100 | FEN: rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: b7b5 | Resulting eval: -1.950 | FEN: rnbqkbnr/p1pppppp/8/1p6/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Considering move: a7a5 | Resulting eval: -2.250 | FEN: rnbqkbnr/1ppppppp/8/p7/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
14:56:45 | _simple_eval_move | Selected move: f7f5 (Evaluation: -3.700)
14:56:46 | _simple_eval_move | == SIMPLE EVALUATION (Player: White) ==
14:56:46 | _simple_eval_move | Considering move: f3g5 | Resulting eval: 2.800 | FEN: rnbqkbnr/ppppp1pp/8/5pN1/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2
14:56:46 | _simple_eval_move | Considering move: f3e5 | Resulting eval: 3.300 | FEN: rnbqkbnr/ppppp1pp/8/4Np2/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2
14:56:46 | _simple_eval_move | Considering move: f3h4 | Resulting eval: 2.200 | FEN: rnbqkbnr/ppppp1pp/8/5p2/7N/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2
14:56:46 | _simple_eval_move | Considering move: f3d4 | Resulting eval: 3.400 | FEN: rnbqkbnr/ppppp1pp/8/5p2/3N4/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2
14:56:46 | _simple_eval_move | Considering move: f3g1 | Resulting eval: 1.800 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/8/PPPPPPPP/RNBQKBNR b KQkq - 1 2
14:56:46 | _simple_eval_move | Considering move: h1g1 | Resulting eval: 3.500 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/5N2/PPPPPPPP/RNBQKBR1 b Qkq - 1 2
14:56:46 | _simple_eval_move | Considering move: b1c3 | Resulting eval: 5.100 | FEN: rnbqkbnr/ppppp1pp/8/5p2/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2
